1,1st Choice Custom Design Construction Inc.,Harrison,Phillip,86-(143)331-2458,
2,A Five Construction,Lane,Kenneth,502-(424)199-5957,
3,Above the Board Construction,Olson,Ernest,389-(230)637-6783,
4,Advanced Build NorthWest,Howell,Louis,52-(366)141-3044,
5,Advanced Technology Constr. Corp.,Fox,Brenda,46-(698)280-8530,
6,All Angled Construction,Bennett,Jeffrey,33-(262)487-3397,
7,Atkinson Construction,Davis,Victor,86-(367)695-5123,
8,B Squared Construction,Grant,Christina,234-(556)614-1638,
9,Bailey General Contractors,Harris,Stephen,86-(257)859-6333,
10,Bask Enterprises,Carpenter,Susan,506-(632)936-0186,
11,Beacon Hill Construction Co.,Gonzales,Ann,1-(651)803-3017,
12,Bellingham Bay Builders,Hudson,Sharon,7-(982)781-4881,
13,Better Builders,Banks,David,86-(496)345-8557,
14,Big Rock Construction,Vasquez,Amanda,86-(859)269-2288,
15,Bishop Contracting LLC,Fox,Arthur,60-(912)643-7252,
16,Black Dog Custom Construction,Ford,Jonathan,7-(759)845-0217,
17,BlackRock Construction,Brown,Jacqueline,1-(528)169-9746,
18,Blue Commercial Building,Little,Walter,27-(131)606-8574,
19,Burke Construction Company,Sanders,Willie,385-(926)310-9386,
20,C & G Construction Services,Kelly,Daniel,964-(174)928-9088,
21,Cadence Builds,Foster,Rebecca,27-(542)178-5210,
22,Cascade Built,Romero,Lois,62-(545)835-6703,
23,Catalyst Professional Resources,Sanders,Alan,86-(443)592-5454,
24,Centennial Contractors Enterprises Inc.,Woods,Walter,39-(884)137-5587,
25,Charter Construction Inc.,Weaver,Shawn,62-(739)490-0357,
26,Coast Construction Group,Collins,Stephen,86-(920)257-2228,
27,Collaborative Construction Solutions LLC,Hernandez,Jose,51-(269)985-6842,
28,Custom Builders Inc.,Evans,Stephen,351-(401)634-4300,
29,Dovetail General Contractors LLC,White,Ruby,358-(706)797-9067,
30,Drycon LLC,Chapman,Linda,86-(219)385-7487,
31,Graham Group US,Olson,Jack,351-(462)108-0324,
32,Grand Land Construction Group LLC,Fowler,Paula,591-(256)974-3595,
33,Green Home Contractors,Little,Paula,86-(114)480-8556,
34,Hallco,Hawkins,Donald,46-(684)383-3220,
35,JEM Construction,Andrews,Wayne,509-(977)710-3494,
36,Joy Developments,Alvarez,Teresa,86-(495)844-3835,
37,Lanphear Construction LLC,Knight,Samuel,63-(499)984-2169,
38,Ledcor Construction Inc.,Cole,Ann,963-(646)764-5553,
39,Market Contractors Ltd.,Moreno,Theresa,86-(938)839-6239,
40,Miller Renovating LLC,Dunn,Craig,86-(671)590-1162,
41,Multi M Contracting,Barnes,Stephanie,86-(506)331-4971,
42,One Stop Services,Owens,Anthony,380-(689)643-2494,
43,Puget Sound Restoration Inc.,Chavez,Raymond,30-(835)426-9389,
44,Select Build LLC,Bradley,Scott,86-(372)944-3479,
45,Sharp Estates Construction LLC,Ruiz,Deborah,86-(597)171-7148,
46,Superior Tank Co. Inc.,Riley,Dorothy,27-(179)126-3781,
47,Thrift Service LLC,Crawford,Patrick,55-(928)323-8070,
48,Woodworth and Company Inc.,Simpson,Linda,375-(237)435-9380,
